X,Y,OBJECTID_1,OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationNam
-84.6448370052134,43.3917282758211,1,1,Station Building (with waiting room),BUS,48801,MI,Alma,Transportation Center,1105 Willow Run Drive, ,AAM,"Alma, MI"
-73.8091855150354,42.7444996511774,2,2,Curbside Bus Stop only (no shelter),BUS,12211,NY,Albany, ,737 Albany Shaker Road,Albany Intl Airport,ABA,"Albany, NY"
-90.3146738882451,44.9285611850779,3,3,Curbside Bus Stop only (no shelter),BUS,54421,WI,Colby, ,1210 North Division St., ,ABB,"Abbotsford-Colby, WI"
-76.1632620584383,39.5084549417299,4,4,Station Building (with waiting room),TRAIN,21001,MD,Aberdeen, ,18 East Bel Air Avenue, ,ABE,"Aberdeen, MD"
-106.647985021302,35.0820666444239,5,6,Station Building (with waiting room),TRAIN,87102,NM,Albuquerque, ,320 1st Street SW, ,ABQ,"Albuquerque, NM"
-121.816037152762,38.0177050086558,6,7,Platform with Shelter,TRAIN,94509,CA,Antioch, ,100 I Street, ,ACA,"Antioch-Pittsburg, CA"
-90.6244092225903,37.5921679296521,7,8,Station Building (with waiting room),TRAIN,63621,MO,Arcadia, ,13700 Highway 21, ,ACD,"Arcadia, MO"
-97.1255176973313,34.1724709818622,8,10,Station Building (with waiting room),TRAIN,73401,OK,Ardmore, ,251 East Main Street, ,ADM,"Ardmore, OK"
-69.7991332904076,44.3559220831307,9,11,Curbside Bus Stop only (no shelter),BUS,04330,ME,Augusta, ,9 Industrial Drive, ,AGM,"Augusta, ME"
-122.689604868596,42.1857492544536,10,12,Curbside Bus Stop only (no shelter),BUS,97520,OR,Ashland, ,499 Stadium Street,Southern Oregon University,AHL,"Ashland, OR"
-74.6187397373715,42.1477875086646,11,13,Curbside Bus Stop only (no shelter),BUS,12406,NY,Arkville, ,43365 State Highway 28, ,AKV,"Arkville, NY"
-82.6396069802708,38.4808824755953,12,14,Platform with Shelter,TRAIN,41101,KY,Ashland, ,99 15th Street, ,AKY,"Ashland, KY"
-84.7906012733067,45.4402096037575,13,15,Curbside Bus Stop only (no shelter),BUS,49706,MI,Alanson, ,7640 Burr Avenue, ,ALA,"Alanson, MI"
-73.741148485347,42.641037635834,14,16,Station Building (with waiting room),TRAIN,12144,NY,Rensselaer, ,525 East Street, ,ALB,"Albany-Rensselaer, NY"
-81.0929076918259,40.9212830119687,15,17,Platform only (no shelter),TRAIN,44601,OH,Alliance, ,820 East Main Street, ,ALC,"Alliance, OH"
-80.6448593290049,37.7242844075518,16,18,Platform with Shelter,TRAIN,24910,WV,Alderson, ,1 C&O Plaza on Railroad Avenue, ,ALD,"Alderson, WV"
-84.7558189268155,42.2472040723965,17,19,Station Building (with waiting room),TRAIN,49224,MI,Albion, ,300 North Eaton Street, ,ALI,"Albion, MI"
-83.4764638194114,45.0622106167293,18,20,Curbside Bus Stop only (no shelter),BUS,49707,MI,Alpena, ,1180 Michigan Highway 32 West, ,ALM,"Alpena, MI"
-90.1573042023512,38.9210141963293,19,21,Station Building (with waiting room),TRAIN,62002,IL,Alton, ,1 Golf Road, ,ALN,"Alton, IL"
-103.661522042259,30.3573070113731,20,22,Station Building (with waiting room),TRAIN,79830,TX,Alpine, ,102 West Holland Avenue, ,ALP,"Alpine, TX"
-78.4016228263897,40.5144830510829,21,23,Station Building (with waiting room),TRAIN,16601,PA,Altoona, ,1231 11th Avenue, ,ALT,"Altoona, PA"
-77.0623322975023,38.8065107671097,22,24,Station Building (with waiting room),TRAIN,22301,VA,Alexandria, ,110 Callahan Drive, ,ALX,"Alexandria, VA"
-123.10278836748,44.6304693698611,23,25,Station Building (with waiting room),TRAIN,97321,OR,Albany, ,110 10th Avenue SW, ,ALY,"Albany, OR"
-74.2195016624998,42.9537276752804,24,26,Station Building (with waiting room),TRAIN,12010,NY,Amsterdam, ,466 West Main Street, ,AMS,"Amsterdam, NY"
-117.877320105321,33.8038078484429,25,27,Station Building (with waiting room),TRAIN,92806,CA,Anaheim, ,2626 East Katella Avenue, ,ANA,"Anaheim, CA"
-74.784461793487,42.1896715126097,26,28,Curbside Bus Stop only (no shelter),BUS,13731,NY,Andes, ,85 Main Street, ,AND,"Andes, NY"
-88.4058582389299,44.2633192020842,27,29,Station Building (with waiting room),BUS,54911,WI,Appleton, ,100 East Washington Street, ,APP,"Appleton, WI"
-83.743158621808,42.28770013137,28,30,Station Building (with waiting room),TRAIN,48104,MI,Ann Arbor, ,325 Depot Street, ,ARB,"Ann Arbor, MI"
-124.083818867366,40.8686380416809,29,31,Curbside Bus Stop only (no shelter),BUS,95521,CA,Arcata, ,925 E Street, ,ARC,"Arcata, CA"
-75.2904008145754,40.008286070804,30,32,Station Building (with waiting room),TRAIN,19003,PA,Ardmore, ,39 Station Avenue, ,ARD,"Ardmore, PA"
-93.0532906338619,34.1139251565912,31,33,Station Building (with waiting room),TRAIN,71923,AR,Arkadelphia, ,798 South 5th Street, ,ARK,"Arkadelphia, AR"
-121.083200147143,38.9036431388316,32,34,Platform with Shelter,TRAIN,95603,CA,Auburn, ,277 Nevada Street, ,ARN,"Auburn, CA"
-123.833304801938,46.190215382115,33,35,Curbside Bus Stop only (no shelter),BUS,97103,OR,Astoria, ,900 Marine Drive, ,ART,"Astoria, OR"
-77.481306364556,37.7596035377782,34,36,Platform with Shelter,TRAIN,23005,VA,Ashland, ,112 North Railroad Avenue, ,ASD,"Ashland, VA"
-79.8557155045587,43.3134215030289,35,37,Station Building (with waiting room),TRAIN,L7T 4A8,ON,Aldershot, ,1199 Waterdown Road, ,AST,"Aldershot, ON"
-120.664772705838,35.4889578593877,36,38,Curbside Bus Stop only (no shelter),BUS,93422,CA,Atascadero, ,6000 Capistrano Avenue, ,ATA,"Atascadero, CA"
-84.3924812066034,33.7994514447837,37,39,Station Building (with waiting room),TRAIN,30309,GA,Atlanta, ,"1688 Peachtree Street, NW", ,ATL,"Atlanta, GA"
-85.8321496120008,33.6491183586758,38,40,Station Building (with waiting room),TRAIN,36201,AL,Anniston, ,126 West 4th Street, ,ATN,"Anniston, AL"
-70.2664074274821,44.0377060109128,39,42,Station Building (with waiting room),BUS,04210,ME,Auburn, ,1707 S. Washington Street, ,AUR,"Auburn, ME"
-97.7569476293145,30.269454215596,40,43,Station Building (with waiting room),TRAIN,78703,TX,Austin, ,250 North Lamar Boulevard, ,AUS,"Austin, TX"
-77.7462807988604,42.911190525481,41,44,Curbside Bus Stop only (no shelter),BUS,14414,NY,Avon, ,68 Genesee Street, ,AVO,"Avon, NY"
-75.462474906574,40.605602182569,42,45,Station Building (with waiting room),BUS,18101,PA,Allentown, ,325 Hamilton Street, ,AWN,"Allentown, PA"
-77.3186326182879,42.3352584380057,43,46,Curbside Bus Stop only (no shelter),BUS,14810,NY,Bath, ,51 Liberty Street, ,BAH,"Bath, NY"
-117.813150518763,44.7815568991323,44,47,Station Building (with waiting room),BUS,97814,OR,Baker City, ,515 Campbell Street, ,BAK,"Baker City, OR"
-76.6156901888681,39.3073098837768,45,48,Station Building (with waiting room),TRAIN,21201,MD,Baltimore, ,1500 North Charles Street,Penn Station,BAL,"Baltimore, MD"
-86.1116513414668,42.3145270113886,46,49,Station Building (with waiting room),TRAIN,49013,MI,Bangor, ,541 Railroad Street, ,BAM,"Bangor, MI"
-68.8087469832627,44.81662319569,47,50,Station Building (with waiting room),BUS,04401,ME,Bangor, ,1039 Union Street, ,BAN,"Bangor, ME"
-117.025447051247,34.9048250217433,48,51,Platform with Shelter,TRAIN,92311,CA,Barstow, ,685 North First Avenue,Harvey House Rail Depot,BAR,"Barstow, CA"
-116.998446044697,34.8912820232536,49,52,Curbside Bus Stop only (no shelter),BUS,92311,CA,Barstow, ,1611 East Main St,McDonald's restaurant,BBS,"Barstow, CA"
-71.0758285958499,42.3473256710381,50,53,Station Building (with waiting room),TRAIN,02116,MA,Boston, ,145 Dartmouth Street,Back Bay Station,BBY,"Boston, MA"
-118.628420454452,43.6423197337963,51,54,Curbside Bus Stop only (no shelter),BUS,97720,OR,Buchanan, ,42456 U.S. Highway 20, ,BCH,"Buchanan, OR"
-77.298792370329,38.7972787544667,52,55,Platform with Shelter,TRAIN,22015,VA,Burke,Virginia Railway Express Station,10399 Premier Court, ,BCV,"Burke Centre, VA"
-83.8869267929158,43.6018553519741,53,56,Station Building (with waiting room),BUS,48708,MI,Bay City, ,1124 Washington Avenue, ,BCY,"Bay City, MI"
-82.512265404245,27.5284670695842,54,57,Curbside Bus Stop only (no shelter),BUS,34222,FL,Ellenton, ,1526 51st Avenue East, ,BDT,"Bradenton-Ellenton, FL"
-122.51127019999,48.7202686520079,55,58,Station Building (with waiting room),TRAIN,98225,WA,Bellingham, ,401 Harris Avenue, ,BEL,"Bellingham, WA"
-110.296914563697,31.9687629941837,56,59,Platform with Shelter,TRAIN,85602,AZ,Benson, ,105 East 4th Street, ,BEN,"Benson, AZ"
-72.7652751048108,41.6356034783966,57,60,Platform with Shelter,TRAIN,06037,CT,Berlin, ,51 Depot Road, ,BER,"Berlin, CT"
-88.9891222121776,42.4900748794455,58,61,Curbside Bus Stop only (no shelter),BUS,61080,IL,South Beloit, ,15766 Manchester Road, ,BET,"South Beloit, IL"
-119.008222429818,35.3721449515049,59,62,Station Building (with waiting room),TRAIN,93301,CA,Bakersfield, ,601 Truxtun Avenue, ,BFD,"Bakersfield, CA"
-69.0259840342739,44.4227011185186,60,63,Curbside Bus Stop only (no shelter),BUS,04915,ME,Belfast, ,22 Belmont Avenue, ,BFT,"Belfast, ME"
-106.659801138054,44.357326872243,61,64,Curbside Bus Stop only (no shelter),BUS,82834,WY,Buffalo, ,187 US Hwy 16, ,BFW,"Buffalo, WY"
-78.8737511565274,42.8784574693099,62,65,Station Building (with waiting room),TRAIN,14203,NY,Buffalo, ,75 Exchange Street,Exchange Street Station,BFX,"Buffalo, NY"
-85.4836172900909,43.6733552769187,63,66,Curbside Bus Stop only (no shelter),BUS,49307,MI,Big Rapids, ,14219 Northland Drive, ,BGP,"Big Rapids, MI"
-86.8070278819844,33.5129432926766,64,67,Station Building (with waiting room),TRAIN,35203,AL,Birmingham,1801 Morris Avenue,Intermodal Facility, ,BHM,"Birmingham, AL"
-120.603564818958,43.8140405609361,65,68,Curbside Bus Stop only (no shelter),BUS,97712,OR,Brothers, ,34100 U.S. Highway 20, ,BHS,"Brothers, OR"
-88.8897663094405,30.3981245498072,66,69,Station Building (with waiting room),BUS,39530,MS,Biloxi, ,820 Martin Luther King Jr. Boulevard, ,BIG,"Biloxi, MS"
-71.1874307628331,44.4590490571842,67,70,Curbside Bus Stop only (no shelter),BUS,03570,NH,Berlin, ,318 Glen Avenue, ,BIN,"Berlin, NH"
-78.8702210065312,40.9687241177949,68,71,Curbside Bus Stop only (no shelter),BUS,15715,PA,Big Run, ,401 East Main Street, ,BIR,"Big Run, PA"
-124.288325082206,42.0547981010757,69,72,Station Building (with waiting room),BUS,97415,OR,Brookings, ,Highway 101 & 5th Street, ,BKO,"Brookings, OR"
-123.114049569728,45.6178694243302,70,73,Curbside Bus Stop only (no shelter),BUS,97106,OR,Banks, ,118 Sunset Avenue, ,BKS,"Banks, OR"
